company,org,model_id,downloads,likes,pipeline_tag,library_name,created_at,tags
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_1-step_1500k,87,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_1; multiberts-seed_1-step_1500k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_1-step_1600k,103,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_1; multiberts-seed_1-step_1600k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_1-step_160k,98,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_1; multiberts-seed_1-step_160k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_1-step_1700k,102,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_1; multiberts-seed_1-step_1700k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_1-step_1800k,97,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_1; multiberts-seed_1-step_1800k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_1-step_180k,89,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_1; multiberts-seed_1-step_180k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_1-step_1900k,87,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_1; multiberts-seed_1-step_1900k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_1-step_2000k,110,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_1; multiberts-seed_1-step_2000k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_1-step_200k,103,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_1; multiberts-seed_1-step_200k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_1-step_20k,116,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_1; multiberts-seed_1-step_20k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_1-step_300k,92,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_1; multiberts-seed_1-step_300k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_1-step_400k,98,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_1; multiberts-seed_1-step_400k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_1-step_40k,95,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_1; multiberts-seed_1-step_40k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_1-step_500k,98,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_1; multiberts-seed_1-step_500k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_1-step_600k,87,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_1; multiberts-seed_1-step_600k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
